八,bā,8
百,bǎi,100
菜,cài,"еда, пища, кухня"
差,chà,не хватать
第,dì,префикс для выражения порядковых числительных
点,diǎn,час
多,duō,много
二,èr,2
饭,fàn,"еда, рис"
分,fēn,минута
还,hái,"еще, также"
很,hěn,очень
件,jiàn,счетное слово для 事
今,jīn,сегодня
九,jiǔ,9
刻,kè,четверть часа
〇,líng,0 (ноль)
零,líng,0 (ноль)
六,liù,6
忙,máng,занятой
每,měi,каждый
明,míng,"завтрашний, будущий"
那,nà/nèi,"то, тот"
七,qī,7
千,qiān,1000
三,sān,3
十,shí,10
四,sì,4
岁,suì,возраст
晚,wǎn,поздний
万,wàn,10000
五,wǔ,5
午,wǔ,обед
一,yī,1
亿,yì,100000000
这,zhè,"это, этот"
周,zhōu,неделя
昨,zuó,вчерашний
非常,fēicháng,очень
分钟,fēnzhōng,минута
今年,jīnnián,этот год
今天,jīntiān,сегодня
礼拜,lǐbài,неделя
明年,míngnián,следующий год
明天,míngtiān,завтра
去年,qùnián,прошедший год
三刻,sānkè,45 минут
上午,shàngwǔ,первая половина дня
时间,shíjiān,время
晚上,wǎnshàng,вечер
喜欢,xǐhuan,"любить, нравиться"
下午,xiàwǔ,после обеда
现在,xiànzài,сейчас
谢谢,xièxiè,спасибо
星期,xīngqī,неделя
学校,xuéxiào,школа
一刻,yíkè,15 минут
中午,zhōngwǔ,полдень
昨天,zuótiān,вчера
怎么样,zěnmeyàng,как?
请再说一边,qǐngzàishuōyìbiān,скажите еще раз