班,bān,смена; группа
场,chǎng,площадка
车,chē,"машина, телега"
床,chuáng,кровать
垂,chuí,"свешиваться, свисать"
打,dǎ,"бить, производить действие"
到,dào,"прибыть, дойти, доехать, достигать"
丁,dīng,"слуга, работник; кусочек"
多,duō,много
房,fáng,"дом, здание"
飞,fēi,летать
概,gài,"обобщать, обобщение"
火,huǒ,огонь
机,jī,механизм
间,jiān,"между, среди"
接,jiē,встречать (кого-то где-то)
起,qǐ,вставать
去,qù,идти
书,shū,книга
习,xí,упражняться в чем-то
洗,xǐ,"мыть, стирать"
先,xiān,сначала
要,yào,"необходимо, нужно"
泳,yǒng,плыть
游,yóu,плавать
右,yòu,правая сторона
站,zhàn,станция
至,zhì,"достигать, доходить до"
走,zǒu,"идти, уходить"
最,zuì,самый
左,zuǒ,левая сторона
打扫,dǎsǎo,подметать; мести; чистить
大概,dàgài,приблизительно (используется перед числительным)
房间,fángjiān,комната
房子,fángzi,дом
飞机,fēijī,самолет
回家,huíjiā,возвращаться домой
火车,huǒchē,поезд
见面,jiànmiàn,"увидеться, встретиться"
起床,qǐchuáng,"вставать (с постели), подниматься, просыпаться"
上班,shàngbān,"идти [выходить] на работу, начинать работу"
上课,shàngkè,"ходить на занятия, посещать школу"
生词,shēngcí,новые слова
时间,shíjiān,время
下班,xiàbān,уйти после окончания работы; прийти с работы; окончание работы
小时,xiǎoshí,час
以后,yǐhòu,после
以前,yǐqián,"до, раньше"
游泳,yóuyǒng,плавать
最后,zuìhòu,"сначала, затем, потом, после этого, в конце концов"
左右,zuǒyòu,приблизительно (используется после числительных)
的时候,deshíhòu,во время
飞机场,fēijīchǎng,самолет
火车站,huǒchēzhàn,вокзал
洗衣服,xǐyīfu,стирать одежду
中文课,zhōngwénkè,урок китайского
半个小时,bàngexiǎoshí,полчаса
一个半小时,yīgebànxiǎoshí,полтора часа
先。。。然后,xiān。。。ránhòu,"сначала..., затем.."