啊,a,"в конце предложения может обозначать подтверждение, утверждение, восклицание"
帮,bāng,помогать
便,biàn,"удобный, подходящий"
电,diàn,электричество
短,duǎn,короткий
对,duì,верно
多,duō,много
发,fā,"отправлять, посылать"
给,gěi,"а) давать б) дательный падеж (кому, чему)"
更,gèng,"больше, более"
号,hào,номер
话,huà,речь
活,huó,"живой, подвижный"
机,jī,"устройство, машина, механизм, аппарат"
乐,yuè,музыка
里,lǐ,внутри
码,mǎ,"код, цифра"
脑,nǎo,мозг
频,pín,"частота, многократно"
让,ràng,"разрешать, заставлять, просить"
少,shǎo,мало
事,shì,"дела, занятия"
视,shì,"смотреть, наблюдать"
说,shuō,говорить
听,tīng,слушать
亡,wáng,"бежать, исчезать"
忘,wàng,забывать
喂,wéi,алло!
写,xiě,писать
信,xìn,письмо
言,yán,"речь, говорить"
一,yāo,единица в номерах телефонов
音,yīn,звук
用,yòng,а) использовать б) творительный падеж (кем чем)
越,yuè,все более
只,zhī,только
帮他,bāngtā,помогать ему
不是,búshì,нет
电话,diànhuà,телефон
电脑,diànnǎo,компьютер
电视,diànshì,телевизор
短信,duǎnxìn,"сообщение, смс"
多少,duōshǎo,сколько?
方便,fāngbiàn,удобный
汉字,hànzì,китайские иероглифы
号码,hàomǎ,номер - телефонный номер
家里,jiālǐ,"дома, в доме"
看书,kànshū,читать книгу
聊天,liáotiān,болтать
生活,shēnghuó,"жить, жизнь"
视频,shìpín,видео
是啊,shìa,да
手机,shǒujī,телефон
书法,shūfǎ,каллиграфия
说话,shuōhuà,говорить
音乐,yīnyuè,музыка
打电话,dǎdiànhuà,звонить по телефону
看电视,kàndiànshì,смотреть телевизор
看视频,kànshìpín,смотреть видео
没事儿,méishìr,ничего страшного
越来越,yuèláiyuè,"чем дальше, тем...., все... и...."
手机号码,shǒujīhàomǎ,номер мобильного телефона
电话号码是多少,diànhuàhàomǎshìduōshǎo,какой номер телефона?